folder,sw,st,enc_lr,head_lr,accuracy,macro_f1,file
sw0p4_st0p1_elr1e-5_hlr1e-5,0.4,0.1,1e-05,1e-05,0.0931,0.0397,sw0p4_st0p1_elr1e-5_hlr1e-5/hPan.txt
sw0p4_st0p1_elr1e-5_hlr5e-5,0.4,0.1,1e-05,5e-05,0.9551,0.8722,sw0p4_st0p1_elr1e-5_hlr5e-5/hPan.txt
sw0p4_st0p1_elr1e-5_hlr1e-4,0.4,0.1,1e-05,0.0001,0.9567,0.8784,sw0p4_st0p1_elr1e-5_hlr1e-4/hPan.txt
sw0p4_st0p1_elr1e-5_hlr5e-4,0.4,0.1,1e-05,0.0005,0.9725,0.9181,sw0p4_st0p1_elr1e-5_hlr5e-4/hPan.txt
sw0p4_st0p1_elr1e-5_hlr1e-3,0.4,0.1,1e-05,0.001,0.9661,0.8848,sw0p4_st0p1_elr1e-5_hlr1e-3/hPan.txt
sw0p4_st0p1_elr1e-5_hlr5e-3,0.4,0.1,1e-05,0.005,0.9673,0.852,sw0p4_st0p1_elr1e-5_hlr5e-3/hPan.txt
sw0p4_st0p1_elr1e-5_hlr1e-2,0.4,0.1,1e-05,0.01,0.9692,0.901,sw0p4_st0p1_elr1e-5_hlr1e-2/hPan.txt
sw0p4_st0p1_elr1e-5_hlr5e-2,0.4,0.1,1e-05,0.05,0.9554,0.8482,sw0p4_st0p1_elr1e-5_hlr5e-2/hPan.txt
sw0p4_st0p1_elr1e-5_hlr1e-1,0.4,0.1,1e-05,0.1,0.3354,0.0359,sw0p4_st0p1_elr1e-5_hlr1e-1/hPan.txt
sw0p4_st0p1_elr1e-5_hlr5e-1,0.4,0.1,1e-05,0.5,0.3354,0.0359,sw0p4_st0p1_elr1e-5_hlr5e-1/hPan.txt
sw0p4_st0p1_elr5e-5_hlr1e-5,0.4,0.1,5e-05,1e-05,0.8691,0.6109,sw0p4_st0p1_elr5e-5_hlr1e-5/hPan.txt
sw0p4_st0p1_elr5e-5_hlr5e-5,0.4,0.1,5e-05,5e-05,0.9655,0.8952,sw0p4_st0p1_elr5e-5_hlr5e-5/hPan.txt
sw0p4_st0p1_elr5e-5_hlr1e-4,0.4,0.1,5e-05,0.0001,0.9692,0.8962,sw0p4_st0p1_elr5e-5_hlr1e-4/hPan.txt
sw0p4_st0p1_elr5e-5_hlr5e-4,0.4,0.1,5e-05,0.0005,0.9704,0.9016,sw0p4_st0p1_elr5e-5_hlr5e-4/hPan.txt
sw0p4_st0p1_elr5e-5_hlr1e-3,0.4,0.1,5e-05,0.001,0.9725,0.9156,sw0p4_st0p1_elr5e-5_hlr1e-3/hPan.txt
sw0p4_st0p1_elr5e-5_hlr5e-3,0.4,0.1,5e-05,0.005,0.9725,0.8873,sw0p4_st0p1_elr5e-5_hlr5e-3/hPan.txt
sw0p4_st0p1_elr5e-5_hlr1e-2,0.4,0.1,5e-05,0.01,0.9603,0.8606,sw0p4_st0p1_elr5e-5_hlr1e-2/hPan.txt
sw0p4_st0p1_elr5e-5_hlr5e-2,0.4,0.1,5e-05,0.05,0.9655,0.8519,sw0p4_st0p1_elr5e-5_hlr5e-2/hPan.txt
sw0p4_st0p1_elr5e-5_hlr1e-1,0.4,0.1,5e-05,0.1,0.3354,0.0359,sw0p4_st0p1_elr5e-5_hlr1e-1/hPan.txt
sw0p4_st0p1_elr5e-5_hlr5e-1,0.4,0.1,5e-05,0.5,0.3354,0.0359,sw0p4_st0p1_elr5e-5_hlr5e-1/hPan.txt
sw0p4_st0p1_elr1e-4_hlr1e-5,0.4,0.1,0.0001,1e-05,0.9085,0.7721,sw0p4_st0p1_elr1e-4_hlr1e-5/hPan.txt
sw0p4_st0p1_elr1e-4_hlr5e-5,0.4,0.1,0.0001,5e-05,0.9673,0.8974,sw0p4_st0p1_elr1e-4_hlr5e-5/hPan.txt
sw0p4_st0p1_elr1e-4_hlr1e-4,0.4,0.1,0.0001,0.0001,0.9673,0.9023,sw0p4_st0p1_elr1e-4_hlr1e-4/hPan.txt
sw0p4_st0p1_elr1e-4_hlr5e-4,0.4,0.1,0.0001,0.0005,0.971,0.9101,sw0p4_st0p1_elr1e-4_hlr5e-4/hPan.txt
sw0p4_st0p1_elr1e-4_hlr1e-3,0.4,0.1,0.0001,0.001,0.9606,0.8854,sw0p4_st0p1_elr1e-4_hlr1e-3/hPan.txt
sw0p4_st0p1_elr1e-4_hlr5e-3,0.4,0.1,0.0001,0.005,0.9707,0.891,sw0p4_st0p1_elr1e-4_hlr5e-3/hPan.txt
sw0p4_st0p1_elr1e-4_hlr1e-2,0.4,0.1,0.0001,0.01,0.9536,0.8166,sw0p4_st0p1_elr1e-4_hlr1e-2/hPan.txt
sw0p4_st0p1_elr1e-4_hlr5e-2,0.4,0.1,0.0001,0.05,0.924,0.733,sw0p4_st0p1_elr1e-4_hlr5e-2/hPan.txt
sw0p4_st0p1_elr1e-4_hlr1e-1,0.4,0.1,0.0001,0.1,0.3354,0.0359,sw0p4_st0p1_elr1e-4_hlr1e-1/hPan.txt
sw0p4_st0p1_elr1e-4_hlr5e-1,0.4,0.1,0.0001,0.5,0.3354,0.0359,sw0p4_st0p1_elr1e-4_hlr5e-1/hPan.txt
sw0p4_st0p1_elr5e-4_hlr1e-5,0.4,0.1,0.0005,1e-05,0.9469,0.8794,sw0p4_st0p1_elr5e-4_hlr1e-5/hPan.txt
sw0p4_st0p1_elr5e-4_hlr5e-5,0.4,0.1,0.0005,5e-05,0.9744,0.9441,sw0p4_st0p1_elr5e-4_hlr5e-5/hPan.txt
sw0p4_st0p1_elr5e-4_hlr1e-4,0.4,0.1,0.0005,0.0001,0.975,0.9336,sw0p4_st0p1_elr5e-4_hlr1e-4/hPan.txt
sw0p4_st0p1_elr5e-4_hlr5e-4,0.4,0.1,0.0005,0.0005,0.9731,0.944,sw0p4_st0p1_elr5e-4_hlr5e-4/hPan.txt
sw0p4_st0p1_elr5e-4_hlr1e-3,0.4,0.1,0.0005,0.001,0.9765,0.947,sw0p4_st0p1_elr5e-4_hlr1e-3/hPan.txt
sw0p4_st0p1_elr5e-4_hlr5e-3,0.4,0.1,0.0005,0.005,0.9738,0.9416,sw0p4_st0p1_elr5e-4_hlr5e-3/hPan.txt
sw0p4_st0p1_elr5e-4_hlr1e-2,0.4,0.1,0.0005,0.01,0.9728,0.8528,sw0p4_st0p1_elr5e-4_hlr1e-2/hPan.txt
sw0p4_st0p1_elr5e-4_hlr5e-2,0.4,0.1,0.0005,0.05,0.971,0.9132,sw0p4_st0p1_elr5e-4_hlr5e-2/hPan.txt
sw0p4_st0p1_elr5e-4_hlr1e-1,0.4,0.1,0.0005,0.1,0.3354,0.0359,sw0p4_st0p1_elr5e-4_hlr1e-1/hPan.txt
sw0p4_st0p1_elr5e-4_hlr5e-1,0.4,0.1,0.0005,0.5,0.3354,0.0359,sw0p4_st0p1_elr5e-4_hlr5e-1/hPan.txt
sw0p4_st0p1_elr1e-3_hlr1e-5,0.4,0.1,0.001,1e-05,0.9466,0.8555,sw0p4_st0p1_elr1e-3_hlr1e-5/hPan.txt
sw0p4_st0p1_elr1e-3_hlr5e-5,0.4,0.1,0.001,5e-05,0.975,0.9304,sw0p4_st0p1_elr1e-3_hlr5e-5/hPan.txt
sw0p4_st0p1_elr1e-3_hlr1e-4,0.4,0.1,0.001,0.0001,0.9683,0.901,sw0p4_st0p1_elr1e-3_hlr1e-4/hPan.txt
sw0p4_st0p1_elr1e-3_hlr5e-4,0.4,0.1,0.001,0.0005,0.978,0.96,sw0p4_st0p1_elr1e-3_hlr5e-4/hPan.txt
sw0p4_st0p1_elr1e-3_hlr1e-3,0.4,0.1,0.001,0.001,0.9747,0.9491,sw0p4_st0p1_elr1e-3_hlr1e-3/hPan.txt
sw0p4_st0p1_elr1e-3_hlr5e-3,0.4,0.1,0.001,0.005,0.9774,0.9271,sw0p4_st0p1_elr1e-3_hlr5e-3/hPan.txt
sw0p4_st0p1_elr1e-3_hlr1e-2,0.4,0.1,0.001,0.01,0.9753,0.8935,sw0p4_st0p1_elr1e-3_hlr1e-2/hPan.txt
sw0p4_st0p1_elr1e-3_hlr5e-2,0.4,0.1,0.001,0.05,0.9719,0.8965,sw0p4_st0p1_elr1e-3_hlr5e-2/hPan.txt
sw0p4_st0p1_elr1e-3_hlr1e-1,0.4,0.1,0.001,0.1,0.3354,0.0359,sw0p4_st0p1_elr1e-3_hlr1e-1/hPan.txt
