folder,sw,st,enc_lr,head_lr,accuracy,macro_f1,file
sw0p4_st0p1_elr1e-5_hlr1e-5,0.4,0.1,1e-05,1e-05,0.667,0.5057,sw0p4_st0p1_elr1e-5_hlr1e-5/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr5e-5,0.4,0.1,1e-05,5e-05,0.6597,0.5126,sw0p4_st0p1_elr1e-5_hlr5e-5/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr1e-4,0.4,0.1,1e-05,0.0001,0.6912,0.5546,sw0p4_st0p1_elr1e-5_hlr1e-4/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr5e-4,0.4,0.1,1e-05,0.0005,0.6999,0.5825,sw0p4_st0p1_elr1e-5_hlr5e-4/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr1e-3,0.4,0.1,1e-05,0.001,0.6912,0.5582,sw0p4_st0p1_elr1e-5_hlr1e-3/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr5e-3,0.4,0.1,1e-05,0.005,0.698,0.5875,sw0p4_st0p1_elr1e-5_hlr5e-3/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr1e-2,0.4,0.1,1e-05,0.01,0.69,0.5697,sw0p4_st0p1_elr1e-5_hlr1e-2/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr5e-2,0.4,0.1,1e-05,0.05,0.689,0.5467,sw0p4_st0p1_elr1e-5_hlr5e-2/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr1e-1,0.4,0.1,1e-05,0.1,0.6671,0.5032,sw0p4_st0p1_elr1e-5_hlr1e-1/PBMC1.txt
sw0p4_st0p1_elr1e-5_hlr5e-1,0.4,0.1,1e-05,0.5,0.3029,0.0423,sw0p4_st0p1_elr1e-5_hlr5e-1/PBMC1.txt
sw0p4_st0p1_elr5e-5_hlr1e-5,0.4,0.1,5e-05,1e-05,0.6695,0.5147,sw0p4_st0p1_elr5e-5_hlr1e-5/PBMC1.txt
sw0p4_st0p1_elr5e-5_hlr5e-5,0.4,0.1,5e-05,5e-05,0.7044,0.5975,sw0p4_st0p1_elr5e-5_hlr5e-5/PBMC1.txt
sw0p4_st0p1_elr5e-5_hlr1e-4,0.4,0.1,5e-05,0.0001,0.7143,0.6113,sw0p4_st0p1_elr5e-5_hlr1e-4/PBMC1.txt
