folder,sw,st,enc_lr,head_lr,accuracy,macro_f1,file
sw0p1_st0p03_elr5e-2_hlr5e-2,0.1,0.03,0.05,0.05,0.3354,0.0359,sw0p1_st0p03_elr5e-2_hlr5e-2/hPan.txt
sw0p1_st0p05_elr5e-2_hlr5e-2,0.1,0.05,0.05,0.05,0.3354,0.0359,sw0p1_st0p05_elr5e-2_hlr5e-2/hPan.txt
sw0p1_st0p07_elr5e-2_hlr5e-2,0.1,0.07,0.05,0.05,0.9774,0.9295,sw0p1_st0p07_elr5e-2_hlr5e-2/hPan.txt
sw0p1_st0p1_elr5e-2_hlr5e-2,0.1,0.1,0.05,0.05,0.9753,0.9181,sw0p1_st0p1_elr5e-2_hlr5e-2/hPan.txt
sw0p1_st0p2_elr5e-2_hlr5e-2,0.1,0.2,0.05,0.05,0.9725,0.8941,sw0p1_st0p2_elr5e-2_hlr5e-2/hPan.txt
sw0p1_st0p3_elr5e-2_hlr5e-2,0.1,0.3,0.05,0.05,0.9796,0.8766,sw0p1_st0p3_elr5e-2_hlr5e-2/hPan.txt
sw0p1_st0p5_elr5e-2_hlr5e-2,0.1,0.5,0.05,0.05,0.9735,0.9149,sw0p1_st0p5_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p03_elr5e-2_hlr5e-2,0.2,0.03,0.05,0.05,0.3354,0.0359,sw0p2_st0p03_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p05_elr5e-2_hlr5e-2,0.2,0.05,0.05,0.05,0.3354,0.0359,sw0p2_st0p05_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p07_elr5e-2_hlr5e-2,0.2,0.07,0.05,0.05,0.9789,0.9279,sw0p2_st0p07_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p1_elr5e-2_hlr5e-2,0.2,0.1,0.05,0.05,0.9637,0.7984,sw0p2_st0p1_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p2_elr5e-2_hlr5e-2,0.2,0.2,0.05,0.05,0.9811,0.9403,sw0p2_st0p2_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p3_elr5e-2_hlr5e-2,0.2,0.3,0.05,0.05,0.9808,0.9162,sw0p2_st0p3_elr5e-2_hlr5e-2/hPan.txt
sw0p2_st0p5_elr5e-2_hlr5e-2,0.2,0.5,0.05,0.05,0.9768,0.915,sw0p2_st0p5_elr5e-2_hlr5e-2/hPan.txt
sw0p3_st0p03_elr5e-2_hlr5e-2,0.3,0.03,0.05,0.05,0.3354,0.0359,sw0p3_st0p03_elr5e-2_hlr5e-2/hPan.txt
sw0p3_st0p05_elr5e-2_hlr5e-2,0.3,0.05,0.05,0.05,0.3354,0.0359,sw0p3_st0p05_elr5e-2_hlr5e-2/hPan.txt
sw0p3_st0p07_elr5e-2_hlr5e-2,0.3,0.07,0.05,0.05,0.9771,0.9075,sw0p3_st0p07_elr5e-2_hlr5e-2/hPan.txt
sw0p3_st0p1_elr5e-2_hlr5e-2,0.3,0.1,0.05,0.05,0.9738,0.8457,sw0p3_st0p1_elr5e-2_hlr5e-2/hPan.txt
