folder,sw,st,enc_lr,head_lr,accuracy,macro_f1,file
sw0p1_st0p03_elr5e-2_hlr1e-2,0.1,0.03,0.05,0.01,0.8185,0.7106,sw0p1_st0p03_elr5e-2_hlr1e-2/PBMC1.txt
sw0p1_st0p05_elr5e-2_hlr1e-2,0.1,0.05,0.05,0.01,0.8086,0.6935,sw0p1_st0p05_elr5e-2_hlr1e-2/PBMC1.txt
sw0p1_st0p07_elr5e-2_hlr1e-2,0.1,0.07,0.05,0.01,0.8202,0.7135,sw0p1_st0p07_elr5e-2_hlr1e-2/PBMC1.txt
sw0p1_st0p1_elr5e-2_hlr1e-2,0.1,0.1,0.05,0.01,0.8007,0.6948,sw0p1_st0p1_elr5e-2_hlr1e-2/PBMC1.txt
sw0p1_st0p2_elr5e-2_hlr1e-2,0.1,0.2,0.05,0.01,0.8129,0.6978,sw0p1_st0p2_elr5e-2_hlr1e-2/PBMC1.txt
sw0p1_st0p3_elr5e-2_hlr1e-2,0.1,0.3,0.05,0.01,0.8045,0.7149,sw0p1_st0p3_elr5e-2_hlr1e-2/PBMC1.txt
sw0p1_st0p5_elr5e-2_hlr1e-2,0.1,0.5,0.05,0.01,0.8126,0.7234,sw0p1_st0p5_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p03_elr5e-2_hlr1e-2,0.2,0.03,0.05,0.01,0.8071,0.7065,sw0p2_st0p03_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p05_elr5e-2_hlr1e-2,0.2,0.05,0.05,0.01,0.8101,0.6948,sw0p2_st0p05_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p07_elr5e-2_hlr1e-2,0.2,0.07,0.05,0.01,0.8114,0.698,sw0p2_st0p07_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p1_elr5e-2_hlr1e-2,0.2,0.1,0.05,0.01,0.8099,0.6925,sw0p2_st0p1_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p2_elr5e-2_hlr1e-2,0.2,0.2,0.05,0.01,0.8096,0.7094,sw0p2_st0p2_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p3_elr5e-2_hlr1e-2,0.2,0.3,0.05,0.01,0.8056,0.7029,sw0p2_st0p3_elr5e-2_hlr1e-2/PBMC1.txt
sw0p2_st0p5_elr5e-2_hlr1e-2,0.2,0.5,0.05,0.01,0.8018,0.7027,sw0p2_st0p5_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p03_elr5e-2_hlr1e-2,0.3,0.03,0.05,0.01,0.8158,0.7031,sw0p3_st0p03_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p05_elr5e-2_hlr1e-2,0.3,0.05,0.05,0.01,0.8102,0.6865,sw0p3_st0p05_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p07_elr5e-2_hlr1e-2,0.3,0.07,0.05,0.01,0.7617,0.6428,sw0p3_st0p07_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p1_elr5e-2_hlr1e-2,0.3,0.1,0.05,0.01,0.8051,0.7097,sw0p3_st0p1_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p2_elr5e-2_hlr1e-2,0.3,0.2,0.05,0.01,0.8148,0.7046,sw0p3_st0p2_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p3_elr5e-2_hlr1e-2,0.3,0.3,0.05,0.01,0.8135,0.6961,sw0p3_st0p3_elr5e-2_hlr1e-2/PBMC1.txt
sw0p3_st0p5_elr5e-2_hlr1e-2,0.3,0.5,0.05,0.01,0.8026,0.6902,sw0p3_st0p5_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p03_elr5e-2_hlr1e-2,0.4,0.03,0.05,0.01,0.8085,0.6985,sw0p4_st0p03_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p05_elr5e-2_hlr1e-2,0.4,0.05,0.05,0.01,0.8063,0.6937,sw0p4_st0p05_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p07_elr5e-2_hlr1e-2,0.4,0.07,0.05,0.01,0.8088,0.6991,sw0p4_st0p07_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p1_elr5e-2_hlr1e-2,0.4,0.1,0.05,0.01,0.8044,0.6947,sw0p4_st0p1_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p2_elr5e-2_hlr1e-2,0.4,0.2,0.05,0.01,0.8147,0.7014,sw0p4_st0p2_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p3_elr5e-2_hlr1e-2,0.4,0.3,0.05,0.01,0.8099,0.6981,sw0p4_st0p3_elr5e-2_hlr1e-2/PBMC1.txt
sw0p4_st0p5_elr5e-2_hlr1e-2,0.4,0.5,0.05,0.01,0.8024,0.691,sw0p4_st0p5_elr5e-2_hlr1e-2/PBMC1.txt
sw0p5_st0p03_elr5e-2_hlr1e-2,0.5,0.03,0.05,0.01,0.8082,0.7102,sw0p5_st0p03_elr5e-2_hlr1e-2/PBMC1.txt
sw0p5_st0p05_elr5e-2_hlr1e-2,0.5,0.05,0.05,0.01,0.7829,0.6778,sw0p5_st0p05_elr5e-2_hlr1e-2/PBMC1.txt
sw0p5_st0p07_elr5e-2_hlr1e-2,0.5,0.07,0.05,0.01,0.8142,0.7111,sw0p5_st0p07_elr5e-2_hlr1e-2/PBMC1.txt
sw0p5_st0p1_elr5e-2_hlr1e-2,0.5,0.1,0.05,0.01,0.8112,0.7311,sw0p5_st0p1_elr5e-2_hlr1e-2/PBMC1.txt
sw0p5_st0p2_elr5e-2_hlr1e-2,0.5,0.2,0.05,0.01,0.8122,0.7008,sw0p5_st0p2_elr5e-2_hlr1e-2/PBMC1.txt
